,borough,fold,test_start,MAE_Prophet,RMSE_Prophet,MAE_SARIMA,RMSE_SARIMA,MAE_XGBoost,RMSE_XGBoost,MAE_Ridge,RMSE_Ridge,MAE_Ensemble,RMSE_Ensemble
0,Bronx,1,2024-03-02,3.07,4.08,3.07,4.25,3.36,4.28,3.14,4.12,3.14,4.12
1,Bronx,2,2024-03-16,2.79,3.37,2.71,3.12,2.86,3.27,2.86,3.38,2.71,3.09
2,Bronx,3,2024-03-30,2.5,3.15,2.64,3.35,3.86,4.39,3.43,4.02,3.0,3.55
3,Bronx,4,2024-04-13,3.21,4.27,3.64,4.95,3.36,4.89,3.57,4.93,3.36,4.67
4,Bronx,5,2024-04-27,2.43,2.65,2.79,3.15,2.5,3.24,2.21,2.87,2.57,3.05
5,Bronx,6,2024-05-11,4.5,5.75,4.14,5.35,4.21,4.8,4.21,5.39,4.14,5.22
6,Bronx,7,2024-05-25,3.57,4.24,3.43,4.17,3.5,4.43,3.79,4.38,3.43,4.09
7,Bronx,8,2024-06-08,3.5,4.3,4.57,5.33,3.86,4.74,4.36,5.12,4.07,4.79
8,Bronx,9,2024-06-22,3.29,4.14,3.43,4.12,3.93,4.79,3.79,4.33,3.57,4.28
9,Bronx,10,2024-07-06,3.21,3.97,2.57,3.21,2.93,3.28,2.79,3.43,2.71,3.34
10,Bronx,11,2024-07-20,4.21,5.34,4.43,6.13,4.5,6.16,4.29,5.82,4.21,5.71
11,Bronx,12,2024-08-03,3.29,3.89,3.21,3.94,3.93,4.45,3.29,4.12,3.36,4.06
12,Bronx,13,2024-08-17,2.86,3.57,2.86,3.36,3.14,3.63,3.14,3.59,2.93,3.41
13,Bronx,14,2024-08-31,2.71,3.63,2.64,3.79,2.86,3.93,2.93,4.11,2.71,3.89
14,Bronx,15,2024-09-14,2.93,3.75,2.43,3.4,3.21,4.1,3.57,4.38,3.07,3.81
15,Bronx,16,2024-09-28,2.79,3.13,3.86,4.29,3.0,3.61,3.21,3.56,3.29,3.63
16,Bronx,17,2024-10-12,2.71,3.18,2.86,3.34,3.21,3.64,2.93,3.33,3.0,3.46
17,Bronx,18,2024-10-26,2.29,2.75,2.71,3.3,2.14,2.73,2.21,2.63,2.43,2.88
18,Bronx,19,2024-11-09,2.86,4.0,2.79,3.69,2.79,3.64,2.86,3.66,3.0,3.82
19,Bronx,20,2024-11-23,2.36,2.6,3.43,3.95,1.71,2.3,2.43,3.09,2.5,2.92
20,Bronx,21,2024-12-07,1.86,2.17,1.57,1.89,1.93,2.28,2.43,2.93,2.14,2.42
21,Bronx,22,2024-12-21,2.64,3.2,2.93,3.47,3.5,3.97,1.93,2.49,2.71,3.18
22,Bronx,23,2025-01-04,2.86,3.46,2.14,2.67,2.29,2.59,2.36,2.82,2.14,2.62
23,Bronx,24,2025-01-18,2.57,3.46,3.07,3.97,2.86,3.66,2.71,3.55,2.71,3.59
24,Bronx,25,2025-02-01,2.0,2.24,2.07,2.31,2.36,2.66,2.5,2.79,2.07,2.31
25,Bronx,26,2025-02-15,2.07,2.82,1.79,2.43,2.07,2.55,1.86,2.17,1.64,2.22
26,Bronx,overall,,2.89,3.58,2.99,3.73,3.07,3.77,3.03,3.73,2.95,3.62
27,Queens,1,2024-03-02,2.36,2.84,2.29,2.78,2.43,2.88,2.21,2.74,2.21,2.66
28,Queens,2,2024-03-16,3.86,5.03,3.86,4.86,3.86,4.57,4.14,5.25,3.93,4.94
29,Queens,3,2024-03-30,3.57,4.55,3.36,4.5,3.43,4.34,3.57,4.68,3.43,4.5
30,Queens,4,2024-04-13,3.36,4.15,3.86,4.78,3.86,4.9,4.21,5.46,3.93,4.92
31,Queens,5,2024-04-27,4.29,5.06,4.36,5.16,4.07,4.99,4.0,5.0,4.21,5.02
32,Queens,6,2024-05-11,3.21,3.73,3.5,3.9,3.71,4.42,3.21,4.11,3.43,4.02
33,Queens,7,2024-05-25,3.86,4.36,4.29,4.78,3.79,4.43,3.71,4.36,3.71,4.17
34,Queens,8,2024-06-08,5.71,8.49,5.57,8.31,6.14,8.47,6.07,8.79,5.79,8.49
35,Queens,9,2024-06-22,3.5,4.01,5.71,6.54,3.14,3.84,5.57,6.34,4.43,4.94
36,Queens,10,2024-07-06,3.21,4.45,4.07,5.43,3.79,5.01,3.86,5.11,3.71,4.8
37,Queens,11,2024-07-20,4.64,6.11,5.0,6.37,5.5,7.1,5.5,7.05,5.21,6.67
38,Queens,12,2024-08-03,4.86,7.26,5.0,6.4,5.57,8.12,4.86,6.71,4.79,6.97
39,Queens,13,2024-08-17,4.5,5.22,3.93,4.86,4.14,4.72,4.07,4.62,4.0,4.63
40,Queens,14,2024-08-31,3.43,4.16,3.64,4.17,3.43,4.54,3.14,3.8,2.79,3.62
