,borough,fold,test_start,MAE_Prophet,RMSE_Prophet,MAE_SARIMA,RMSE_SARIMA,MAE_XGBoost,RMSE_XGBoost,MAE_Ridge,RMSE_Ridge,MAE_Ensemble,RMSE_Ensemble
41,Queens,15,2024-09-14,3.5,4.76,4.36,5.04,3.43,5.01,3.43,4.88,3.5,4.67
42,Queens,16,2024-09-28,3.79,4.71,3.71,4.77,4.57,5.36,3.93,4.74,3.86,4.71
43,Queens,17,2024-10-12,3.21,4.17,4.36,5.12,4.0,4.64,3.57,4.26,3.57,4.28
44,Queens,18,2024-10-26,3.36,4.32,3.36,4.23,3.43,4.07,3.36,4.15,3.21,4.06
45,Queens,19,2024-11-09,3.07,3.94,3.07,3.96,2.64,3.35,2.57,3.34,2.64,3.45
46,Queens,20,2024-11-23,4.36,4.83,4.21,4.54,3.07,3.67,3.64,4.15,3.93,4.32
47,Queens,21,2024-12-07,3.86,4.42,1.86,2.24,2.43,3.05,2.07,2.35,2.57,2.88
48,Queens,22,2024-12-21,4.29,4.97,2.5,2.82,1.93,2.22,2.29,2.88,2.5,2.89
49,Queens,23,2025-01-04,4.57,5.25,4.0,5.71,3.36,4.96,3.71,5.07,3.57,4.86
50,Queens,24,2025-01-18,4.64,5.31,2.86,3.68,2.5,3.2,2.64,3.35,3.0,3.84
51,Queens,25,2025-02-01,3.64,3.99,2.43,3.4,2.79,3.39,2.57,3.21,2.64,3.17
52,Queens,26,2025-02-15,3.79,4.5,2.64,3.54,2.57,3.14,3.0,3.61,2.71,3.4
53,Queens,overall,,3.86,4.79,3.76,4.69,3.60,4.55,3.65,4.62,3.59,4.50
