Year,ZIP code [1],Size of adjusted gross income,Adjusted gross income (AGI)
2012,0,"$1 under $25,000",43871428
2012,0,"$100,000 under $200,000",145291944
2012,0,"$200,000 or more",304729704
2012,0,"$25,000 under $50,000",75284440
2012,0,"$50,000 under $75,000",74930754
2012,0,"$75,000 under $100,000",67225062
2012,10001,"$1 under $25,000",46886
2012,10001,"$100,000 under $200,000",282904
2012,10001,"$200,000 or more",1275646
2012,10001,"$25,000 under $50,000",93346
2012,10001,"$50,000 under $75,000",110732
2012,10001,"$75,000 under $100,000",106225
2012,10002,"$1 under $25,000",279773
2012,10002,"$100,000 under $200,000",351718
2012,10002,"$200,000 or more",565417
2012,10002,"$25,000 under $50,000",299068
2012,10002,"$50,000 under $75,000",253676
2012,10002,"$75,000 under $100,000",194768
2012,10003,"$1 under $25,000",69513
2012,10003,"$100,000 under $200,000",800361
2012,10003,"$200,000 or more",4388565
2012,10003,"$25,000 under $50,000",182451
2012,10003,"$50,000 under $75,000",275369
2012,10003,"$75,000 under $100,000",273428
2012,10004,"$1 under $25,000",3796
2012,10004,"$100,000 under $200,000",69916
2012,10004,"$200,000 or more",758265
2012,10004,"$25,000 under $50,000",11229
2012,10004,"$50,000 under $75,000",18413
2012,10004,"$75,000 under $100,000",18344
2012,10005,"$1 under $25,000",8556
2012,10005,"$100,000 under $200,000",165571
2012,10005,"$200,000 or more",5185693
2012,10005,"$25,000 under $50,000",31060
2012,10005,"$50,000 under $75,000",48980
2012,10005,"$75,000 under $100,000",48371
2012,10006,"$1 under $25,000",4052
2012,10006,"$100,000 under $200,000",83954
2012,10006,"$200,000 or more",263961
2012,10006,"$25,000 under $50,000",14186
2012,10006,"$50,000 under $75,000",17950
2012,10006,"$75,000 under $100,000",23016
2012,10007,"$1 under $25,000",5643
2012,10007,"$100,000 under $200,000",92801
2012,10007,"$200,000 or more",1492779
2012,10007,"$25,000 under $50,000",11700
2012,10007,"$50,000 under $75,000",16494
2012,10007,"$75,000 under $100,000",18672
2012,10009,"$1 under $25,000",128670
2012,10009,"$100,000 under $200,000",532778
2012,10009,"$200,000 or more",711367
2012,10009,"$25,000 under $50,000",272344
2012,10009,"$50,000 under $75,000",327148
