Year,ZIP code [1],Size of adjusted gross income,Adjusted gross income (AGI)
2012,10009,"$75,000 under $100,000",260001
2012,10010,"$1 under $25,000",35352
2012,10010,"$100,000 under $200,000",500336
2012,10010,"$200,000 or more",2669400
2012,10010,"$25,000 under $50,000",104317
2012,10010,"$50,000 under $75,000",162123
2012,10010,"$75,000 under $100,000",168708
2012,10011,"$1 under $25,000",69589
2012,10011,"$100,000 under $200,000",905166
2012,10011,"$200,000 or more",5872026
2012,10011,"$25,000 under $50,000",173103
2012,10011,"$50,000 under $75,000",255584
2012,10011,"$75,000 under $100,000",281490
2012,10012,"$1 under $25,000",34012
2012,10012,"$100,000 under $200,000",335456
2012,10012,"$200,000 or more",1874820
2012,10012,"$25,000 under $50,000",81726
2012,10012,"$50,000 under $75,000",117309
2012,10012,"$75,000 under $100,000",113681
2012,10013,"$1 under $25,000",58481
2012,10013,"$100,000 under $200,000",260078
2012,10013,"$200,000 or more",5157266
2012,10013,"$25,000 under $50,000",81076
2012,10013,"$50,000 under $75,000",89885
2012,10013,"$75,000 under $100,000",86101
2012,10014,"$1 under $25,000",40030
2012,10014,"$100,000 under $200,000",596640
2012,10014,"$200,000 or more",3760049
2012,10014,"$25,000 under $50,000",106192
2012,10014,"$50,000 under $75,000",164528
2012,10014,"$75,000 under $100,000",186174
2012,10016,"$1 under $25,000",67598
2012,10016,"$100,000 under $200,000",850518
2012,10016,"$200,000 or more",4554061
2012,10016,"$25,000 under $50,000",201685
2012,10016,"$50,000 under $75,000",313055
2012,10016,"$75,000 under $100,000",301757
2012,10017,"$1 under $25,000",23901
2012,10017,"$100,000 under $200,000",334122
2012,10017,"$200,000 or more",3936721
2012,10017,"$25,000 under $50,000",60337
2012,10017,"$50,000 under $75,000",96995
2012,10017,"$75,000 under $100,000",108460
2012,10018,"$1 under $25,000",19131
2012,10018,"$100,000 under $200,000",141370
2012,10018,"$200,000 or more",2748415
2012,10018,"$25,000 under $50,000",41422
2012,10018,"$50,000 under $75,000",45511
2012,10018,"$75,000 under $100,000",47369
2012,10019,"$1 under $25,000",65650
2012,10019,"$100,000 under $200,000",666226
2012,10019,"$200,000 or more",5845927
2012,10019,"$25,000 under $50,000",155784
2012,10019,"$50,000 under $75,000",216133
2012,10019,"$75,000 under $100,000",215530
2012,10021,"$1 under $25,000",44357
2012,10021,"$100,000 under $200,000",653507
2012,10021,"$200,000 or more",11193126
2012,10021,"$25,000 under $50,000",123947
2012,10021,"$50,000 under $75,000",204313
2012,10021,"$75,000 under $100,000",213882
2012,10022,"$1 under $25,000",34631
2012,10022,"$100,000 under $200,000",572825
2012,10022,"$200,000 or more",7324975
2012,10022,"$25,000 under $50,000",95236
2012,10022,"$50,000 under $75,000",153862
2012,10022,"$75,000 under $100,000",172592
2012,10023,"$1 under $25,000",73452
2012,10023,"$100,000 under $200,000",1005582
2012,10023,"$200,000 or more",9139192
2012,10023,"$25,000 under $50,000",167795
2012,10023,"$50,000 under $75,000",258405
2012,10023,"$75,000 under $100,000",286303
2012,10024,"$1 under $25,000",71523
2012,10024,"$100,000 under $200,000",800202
2012,10024,"$200,000 or more",7831262
2012,10024,"$25,000 under $50,000",165434
2012,10024,"$50,000 under $75,000",235940
2012,10024,"$75,000 under $100,000",255133
2012,10025,"$1 under $25,000",162297
2012,10025,"$100,000 under $200,000",987600
2012,10025,"$200,000 or more",3941972
2012,10025,"$25,000 under $50,000",330095
2012,10025,"$50,000 under $75,000",384396
2012,10025,"$75,000 under $100,000",351204
2012,10026,"$1 under $25,000",94170
2012,10026,"$100,000 under $200,000",188275
2012,10026,"$200,000 or more",277355
2012,10026,"$25,000 under $50,000",154381
2012,10026,"$50,000 under $75,000",136870
2012,10026,"$75,000 under $100,000",100178
2012,10027,"$1 under $25,000",150069
2012,10027,"$100,000 under $200,000",254790
2012,10027,"$200,000 or more",373974
2012,10027,"$25,000 under $50,000",233399
2012,10027,"$50,000 under $75,000",184456
2012,10027,"$75,000 under $100,000",126584
2012,10028,"$1 under $25,000",49385
2012,10028,"$100,000 under $200,000",666874
2012,10028,"$200,000 or more",7281757
2012,10028,"$25,000 under $50,000",141463
2012,10028,"$50,000 under $75,000",232943
2012,10028,"$75,000 under $100,000",243455
2012,10029,"$1 under $25,000",212970
2012,10029,"$100,000 under $200,000",172172
2012,10029,"$200,000 or more",521105
2012,10029,"$25,000 under $50,000",339391
2012,10029,"$50,000 under $75,000",224054
2012,10029,"$75,000 under $100,000",124235
2012,10030,"$1 under $25,000",84160
2012,10030,"$100,000 under $200,000",58640
2012,10030,"$200,000 or more",49728
2012,10030,"$25,000 under $50,000",126373
2012,10030,"$50,000 under $75,000",83151
2012,10030,"$75,000 under $100,000",50626
2012,10031,"$1 under $25,000",188481
2012,10031,"$100,000 under $200,000",118025
2012,10031,"$200,000 or more",86632
2012,10031,"$25,000 under $50,000",263940
2012,10031,"$50,000 under $75,000",182114
2012,10031,"$75,000 under $100,000",100159
2012,10032,"$1 under $25,000",204942
2012,10032,"$100,000 under $200,000",122770
2012,10032,"$200,000 or more",68182
2012,10032,"$25,000 under $50,000",271485
2012,10032,"$50,000 under $75,000",177179
2012,10032,"$75,000 under $100,000",102829
2012,10033,"$1 under $25,000",170247
2012,10033,"$100,000 under $200,000",190908
2012,10033,"$200,000 or more",142405
2012,10033,"$25,000 under $50,000",225443
2012,10033,"$50,000 under $75,000",163887
2012,10033,"$75,000 under $100,000",118050
2012,10034,"$1 under $25,000",124875
2012,10034,"$100,000 under $200,000",133877
2012,10034,"$200,000 or more",55995
2012,10034,"$25,000 under $50,000",177221
2012,10034,"$50,000 under $75,000",143556
2012,10034,"$75,000 under $100,000",96679
2012,10035,"$1 under $25,000",91983
2012,10035,"$100,000 under $200,000",96695
2012,10035,"$200,000 or more",77437
2012,10035,"$25,000 under $50,000",138059
2012,10035,"$50,000 under $75,000",121132
2012,10035,"$75,000 under $100,000",63490
2012,10036,"$1 under $25,000",58830
2012,10036,"$100,000 under $200,000",389383
2012,10036,"$200,000 or more",2628249
2012,10036,"$25,000 under $50,000",129919
2012,10036,"$50,000 under $75,000",149303
2012,10036,"$75,000 under $100,000",155619
2012,10037,"$1 under $25,000",51820
2012,10037,"$100,000 under $200,000",73334
2012,10037,"$200,000 or more",21163
2012,10037,"$25,000 under $50,000",104043
2012,10037,"$50,000 under $75,000",103391
2012,10037,"$75,000 under $100,000",72643
2012,10038,"$1 under $25,000",42977
2012,10038,"$100,000 under $200,000",241278
2012,10038,"$200,000 or more",750882
2012,10038,"$25,000 under $50,000",81737
2012,10038,"$50,000 under $75,000",96999
2012,10038,"$75,000 under $100,000",91477
2012,10039,"$1 under $25,000",86811
2012,10039,"$100,000 under $200,000",60610
2012,10039,"$200,000 or more",34477
2012,10039,"$25,000 under $50,000",126398
2012,10039,"$50,000 under $75,000",90179
2012,10039,"$75,000 under $100,000",51430
2012,10040,"$1 under $25,000",134275
2012,10040,"$100,000 under $200,000",132236
2012,10040,"$200,000 or more",68786
2012,10040,"$25,000 under $50,000",192153
2012,10040,"$50,000 under $75,000",149673
2012,10040,"$75,000 under $100,000",89421
2012,10044,"$1 under $25,000",13729
2012,10044,"$100,000 under $200,000",102039
2012,10044,"$200,000 or more",121881
2012,10044,"$25,000 under $50,000",30885
2012,10044,"$50,000 under $75,000",36434
2012,10044,"$75,000 under $100,000",39957
2012,10065,"$1 under $25,000",29024
2012,10065,"$100,000 under $200,000",434353
2012,10065,"$200,000 or more",8488911
2012,10065,"$25,000 under $50,000",87905
2012,10065,"$50,000 under $75,000",133776
2012,10065,"$75,000 under $100,000",133812
2012,10069,"$1 under $25,000",3687
2012,10069,"$100,000 under $200,000",80025
2012,10069,"$200,000 or more",1150890
2012,10069,"$25,000 under $50,000",8194
2012,10069,"$50,000 under $75,000",13725
2012,10069,"$75,000 under $100,000",17924
2012,10075,"$1 under $25,000",27826
2012,10075,"$100,000 under $200,000",368471
2012,10075,"$200,000 or more",4931265
2012,10075,"$25,000 under $50,000",76241
2012,10075,"$50,000 under $75,000",128840
2012,10075,"$75,000 under $100,000",138990
2012,10128,"$1 under $25,000",74329
2012,10128,"$100,000 under $200,000",797602
2012,10128,"$200,000 or more",8898098
2012,10128,"$25,000 under $50,000",199338
2012,10128,"$50,000 under $75,000",312894
2012,10128,"$75,000 under $100,000",289152
2012,10162,"$1 under $25,000",1035
2012,10162,"$100,000 under $200,000",27387
2012,10162,"$200,000 or more",142652
2012,10162,"$25,000 under $50,000",1988
2012,10162,"$50,000 under $75,000",2838
2012,10162,"$75,000 under $100,000",5541
2012,10280,"$1 under $25,000",6545
2012,10280,"$100,000 under $200,000",155061
2012,10280,"$200,000 or more",499205
2012,10280,"$25,000 under $50,000",15830
2012,10280,"$50,000 under $75,000",29539
2012,10280,"$75,000 under $100,000",39812
2012,10282,"$1 under $25,000",2701
2012,10282,"$100,000 under $200,000",71131
2012,10282,"$200,000 or more",936125
2012,10282,"$25,000 under $50,000",7186
2012,10282,"$50,000 under $75,000",11069
2012,10282,"$75,000 under $100,000",17868
2012,10301,"$1 under $25,000",75335
2012,10301,"$100,000 under $200,000",275251
2012,10301,"$200,000 or more",300566
2012,10301,"$25,000 under $50,000",142946
2012,10301,"$50,000 under $75,000",152653
2012,10301,"$75,000 under $100,000",139260
2012,10302,"$1 under $25,000",37767
2012,10302,"$100,000 under $200,000",107669
2012,10302,"$200,000 or more",30750
2012,10302,"$25,000 under $50,000",60184
2012,10302,"$50,000 under $75,000",62821
2012,10302,"$75,000 under $100,000",56738
2012,10303,"$1 under $25,000",62082
2012,10303,"$100,000 under $200,000",122106
2012,10303,"$200,000 or more",15485
2012,10303,"$25,000 under $50,000",100509
2012,10303,"$50,000 under $75,000",93717
2012,10303,"$75,000 under $100,000",85664
2012,10304,"$1 under $25,000",96896
2012,10304,"$100,000 under $200,000",263911
2012,10304,"$200,000 or more",389637
2012,10304,"$25,000 under $50,000",154353
2012,10304,"$50,000 under $75,000",136020
2012,10304,"$75,000 under $100,000",123665
2012,10305,"$1 under $25,000",78842
2012,10305,"$100,000 under $200,000",352163
2012,10305,"$200,000 or more",140208
2012,10305,"$25,000 under $50,000",147183
2012,10305,"$50,000 under $75,000",173133
2012,10305,"$75,000 under $100,000",177940
2012,10306,"$1 under $25,000",95264
2012,10306,"$100,000 under $200,000",646585
2012,10306,"$200,000 or more",306793
2012,10306,"$25,000 under $50,000",184535
2012,10306,"$50,000 under $75,000",244091
2012,10306,"$75,000 under $100,000",259664
2012,10307,"$1 under $25,000",20706
2012,10307,"$100,000 under $200,000",181302
2012,10307,"$200,000 or more",158479
2012,10307,"$25,000 under $50,000",36611
2012,10307,"$50,000 under $75,000",52707
2012,10307,"$75,000 under $100,000",62585
2012,10308,"$1 under $25,000",43531
2012,10308,"$100,000 under $200,000",379826
2012,10308,"$200,000 or more",130534
2012,10308,"$25,000 under $50,000",84387
2012,10308,"$50,000 under $75,000",121792
2012,10308,"$75,000 under $100,000",143634
2012,10309,"$1 under $25,000",47260
2012,10309,"$100,000 under $200,000",433812
2012,10309,"$200,000 or more",248792
2012,10309,"$25,000 under $50,000",94458
2012,10309,"$50,000 under $75,000",125822
2012,10309,"$75,000 under $100,000",149107
2012,10310,"$1 under $25,000",50572
2012,10310,"$100,000 under $200,000",213421
2012,10310,"$200,000 or more",91236
2012,10310,"$25,000 under $50,000",82885
2012,10310,"$50,000 under $75,000",87145
2012,10310,"$75,000 under $100,000",89804
2012,10312,"$1 under $25,000",90272
2012,10312,"$100,000 under $200,000",824685
2012,10312,"$200,000 or more",445732
2012,10312,"$25,000 under $50,000",181481
2012,10312,"$50,000 under $75,000",257260
2012,10312,"$75,000 under $100,000",320718
2012,10314,"$1 under $25,000",148364
2012,10314,"$100,000 under $200,000",929679
2012,10314,"$200,000 or more",387577
2012,10314,"$25,000 under $50,000",284152
2012,10314,"$50,000 under $75,000",365889
2012,10314,"$75,000 under $100,000",407483
2012,10451,"$1 under $25,000",153900
2012,10451,"$100,000 under $200,000",50385
2012,10451,"$200,000 or more",6965
2012,10451,"$25,000 under $50,000",218440
2012,10451,"$50,000 under $75,000",131112
2012,10451,"$75,000 under $100,000",63228
2012,10452,"$1 under $25,000",275029
2012,10452,"$100,000 under $200,000",37677
2012,10452,"$200,000 or more",0
2012,10452,"$25,000 under $50,000",315919
2012,10452,"$50,000 under $75,000",156271
2012,10452,"$75,000 under $100,000",61976
2012,10453,"$1 under $25,000",289075
2012,10453,"$100,000 under $200,000",40621
2012,10453,"$200,000 or more",0
2012,10453,"$25,000 under $50,000",312468
2012,10453,"$50,000 under $75,000",145402
2012,10453,"$75,000 under $100,000",61752
2012,10454,"$1 under $25,000",117244
2012,10454,"$100,000 under $200,000",27430
2012,10454,"$200,000 or more",0
2012,10454,"$25,000 under $50,000",129213
2012,10454,"$50,000 under $75,000",55707
2012,10454,"$75,000 under $100,000",22889
2012,10455,"$1 under $25,000",127376
2012,10455,"$100,000 under $200,000",22847
2012,10455,"$200,000 or more",0
2012,10455,"$25,000 under $50,000",160281
2012,10455,"$50,000 under $75,000",76919
2012,10455,"$75,000 under $100,000",29478
2012,10456,"$1 under $25,000",308668
2012,10456,"$100,000 under $200,000",38705
2012,10456,"$200,000 or more",0
2012,10456,"$25,000 under $50,000",329066
2012,10456,"$50,000 under $75,000",150968
2012,10456,"$75,000 under $100,000",63271
2012,10457,"$1 under $25,000",246052
2012,10457,"$100,000 under $200,000",41807
2012,10457,"$200,000 or more",0
2012,10457,"$25,000 under $50,000",261441
2012,10457,"$50,000 under $75,000",126659
2012,10457,"$75,000 under $100,000",54344
2012,10458,"$1 under $25,000",244666
2012,10458,"$100,000 under $200,000",57180
2012,10458,"$200,000 or more",8782
2012,10458,"$25,000 under $50,000",284965
2012,10458,"$50,000 under $75,000",151525
2012,10458,"$75,000 under $100,000",79569
2012,10459,"$1 under $25,000",154312
2012,10459,"$100,000 under $200,000",31361
2012,10459,"$200,000 or more",0
2012,10459,"$25,000 under $50,000",202976
2012,10459,"$50,000 under $75,000",104873
2012,10459,"$75,000 under $100,000",40217
2012,10460,"$1 under $25,000",182093
2012,10460,"$100,000 under $200,000",43377
2012,10460,"$200,000 or more",0
2012,10460,"$25,000 under $50,000",226996
2012,10460,"$50,000 under $75,000",131206
2012,10460,"$75,000 under $100,000",52130
2012,10461,"$1 under $25,000",107661
2012,10461,"$100,000 under $200,000",253519
2012,10461,"$200,000 or more",59189
2012,10461,"$25,000 under $50,000",228948
2012,10461,"$50,000 under $75,000",230332
2012,10461,"$75,000 under $100,000",180800
2012,10462,"$1 under $25,000",201569
2012,10462,"$100,000 under $200,000",209913
2012,10462,"$200,000 or more",25262
2012,10462,"$25,000 under $50,000",411771
2012,10462,"$50,000 under $75,000",354451
2012,10462,"$75,000 under $100,000",227567
2012,10463,"$1 under $25,000",154836
2012,10463,"$100,000 under $200,000",474052
2012,10463,"$200,000 or more",478967
2012,10463,"$25,000 under $50,000",283128
2012,10463,"$50,000 under $75,000",285470
2012,10463,"$75,000 under $100,000",237652
2012,10464,"$1 under $25,000",6730
2012,10464,"$100,000 under $200,000",54975
2012,10464,"$200,000 or more",45090
2012,10464,"$25,000 under $50,000",15927
2012,10464,"$50,000 under $75,000",23777
2012,10464,"$75,000 under $100,000",21293
2012,10465,"$1 under $25,000",77675
2012,10465,"$100,000 under $200,000",344566
2012,10465,"$200,000 or more",95499
2012,10465,"$25,000 under $50,000",170197
2012,10465,"$50,000 under $75,000",195749
2012,10465,"$75,000 under $100,000",182651
2012,10466,"$1 under $25,000",184903
2012,10466,"$100,000 under $200,000",175873
2012,10466,"$200,000 or more",18329
2012,10466,"$25,000 under $50,000",324644
2012,10466,"$50,000 under $75,000",232475
2012,10466,"$75,000 under $100,000",157432
2012,10467,"$1 under $25,000",270854
2012,10467,"$100,000 under $200,000",147565
2012,10467,"$200,000 or more",16157
2012,10467,"$25,000 under $50,000",430873
2012,10467,"$50,000 under $75,000",294719
2012,10467,"$75,000 under $100,000",151212
2012,10468,"$1 under $25,000",257098
2012,10468,"$100,000 under $200,000",74415
2012,10468,"$200,000 or more",10033
2012,10468,"$25,000 under $50,000",308866
2012,10468,"$50,000 under $75,000",179585
2012,10468,"$75,000 under $100,000",89394
2012,10469,"$1 under $25,000",163405
2012,10469,"$100,000 under $200,000",274585
2012,10469,"$200,000 or more",89624
2012,10469,"$25,000 under $50,000",303560
2012,10469,"$50,000 under $75,000",263398
2012,10469,"$75,000 under $100,000",195056
2012,10470,"$1 under $25,000",35277
2012,10470,"$100,000 under $200,000",85850
2012,10470,"$200,000 or more",20009
2012,10470,"$25,000 under $50,000",70535
2012,10470,"$50,000 under $75,000",65589
2012,10470,"$75,000 under $100,000",56534
2012,10471,"$1 under $25,000",28583
2012,10471,"$100,000 under $200,000",247292
2012,10471,"$200,000 or more",784412
2012,10471,"$25,000 under $50,000",66325
2012,10471,"$50,000 under $75,000",98890
2012,10471,"$75,000 under $100,000",110833
2012,10472,"$1 under $25,000",194676
2012,10472,"$100,000 under $200,000",65001
2012,10472,"$200,000 or more",7163
2012,10472,"$25,000 under $50,000",248230
2012,10472,"$50,000 under $75,000",139463
2012,10472,"$75,000 under $100,000",73642
2012,10473,"$1 under $25,000",158740
2012,10473,"$100,000 under $200,000",152585
2012,10473,"$200,000 or more",18130
2012,10473,"$25,000 under $50,000",280011
2012,10473,"$50,000 under $75,000",219009
2012,10473,"$75,000 under $100,000",143277
2012,10474,"$1 under $25,000",36521
2012,10474,"$100,000 under $200,000",10993
2012,10474,"$200,000 or more",0
2012,10474,"$25,000 under $50,000",44049
2012,10474,"$50,000 under $75,000",20221
2012,10474,"$75,000 under $100,000",6800
2012,10475,"$1 under $25,000",89170
2012,10475,"$100,000 under $200,000",160681
2012,10475,"$200,000 or more",14014
2012,10475,"$25,000 under $50,000",243021
2012,10475,"$50,000 under $75,000",270779
2012,10475,"$75,000 under $100,000",181589
2012,10501,"$1 under $25,000",1740
2012,10501,"$100,000 under $200,000",19931
2012,10501,"$200,000 or more",56994
2012,10501,"$25,000 under $50,000",3102
2012,10501,"$50,000 under $75,000",4649
2012,10501,"$75,000 under $100,000",4806
2012,10502,"$1 under $25,000",6646
2012,10502,"$100,000 under $200,000",95670
2012,10502,"$200,000 or more",250641
2012,10502,"$25,000 under $50,000",13403
2012,10502,"$50,000 under $75,000",15603
2012,10502,"$75,000 under $100,000",22192
2012,10504,"$1 under $25,000",8718
2012,10504,"$100,000 under $200,000",129971
2012,10504,"$200,000 or more",2282222
2012,10504,"$25,000 under $50,000",14696
2012,10504,"$50,000 under $75,000",19231
2012,10504,"$75,000 under $100,000",24693
2012,10505,"$1 under $25,000",1715
2012,10505,"$100,000 under $200,000",16641
2012,10505,"$200,000 or more",35699
2012,10505,"$25,000 under $50,000",2822
2012,10505,"$50,000 under $75,000",2626
2012,10505,"$75,000 under $100,000",3071
2012,10506,"$1 under $25,000",6084
2012,10506,"$100,000 under $200,000",64837
2012,10506,"$200,000 or more",1184855
2012,10506,"$25,000 under $50,000",9917
2012,10506,"$50,000 under $75,000",12291
2012,10506,"$75,000 under $100,000",14904
2012,10507,"$1 under $25,000",9983
2012,10507,"$100,000 under $200,000",56251
2012,10507,"$200,000 or more",327992
2012,10507,"$25,000 under $50,000",17681
2012,10507,"$50,000 under $75,000",20180
2012,10507,"$75,000 under $100,000",21670
2012,10509,"$1 under $25,000",32721
2012,10509,"$100,000 under $200,000",270445
2012,10509,"$200,000 or more",244440
2012,10509,"$25,000 under $50,000",61240
2012,10509,"$50,000 under $75,000",75926
2012,10509,"$75,000 under $100,000",90536
2012,10510,"$1 under $25,000",9706
2012,10510,"$100,000 under $200,000",143883
2012,10510,"$200,000 or more",1087287
2012,10510,"$25,000 under $50,000",17986
2012,10510,"$50,000 under $75,000",24504
2012,10510,"$75,000 under $100,000",30758
2012,10511,"$1 under $25,000",3919
2012,10511,"$100,000 under $200,000",29087
2012,10511,"$200,000 or more",14136
2012,10511,"$25,000 under $50,000",8371
2012,10511,"$50,000 under $75,000",10116
2012,10511,"$75,000 under $100,000",11149
2012,10512,"$1 under $25,000",38155
2012,10512,"$100,000 under $200,000",357503
2012,10512,"$200,000 or more",303829
2012,10512,"$25,000 under $50,000",79189
2012,10512,"$50,000 under $75,000",110878
2012,10512,"$75,000 under $100,000",121904
2012,10514,"$1 under $25,000",10246
2012,10514,"$100,000 under $200,000",133184
2012,10514,"$200,000 or more",2272701
2012,10514,"$25,000 under $50,000",15238
2012,10514,"$50,000 under $75,000",17831
2012,10514,"$75,000 under $100,000",21755
2012,10516,"$1 under $25,000",8593
2012,10516,"$100,000 under $200,000",84786
2012,10516,"$200,000 or more",133123
2012,10516,"$25,000 under $50,000",15508
2012,10516,"$50,000 under $75,000",22881
2012,10516,"$75,000 under $100,000",25525
2012,10518,"$1 under $25,000",2418
2012,10518,"$100,000 under $200,000",20833
2012,10518,"$200,000 or more",81052
2012,10518,"$25,000 under $50,000",3072
2012,10518,"$50,000 under $75,000",4990
2012,10518,"$75,000 under $100,000",5013
2012,10520,"$1 under $25,000",16659
2012,10520,"$100,000 under $200,000",199100
2012,10520,"$200,000 or more",472012
2012,10520,"$25,000 under $50,000",35838
2012,10520,"$50,000 under $75,000",48296
2012,10520,"$75,000 under $100,000",51246
2012,10522,"$1 under $25,000",13944
2012,10522,"$100,000 under $200,000",143278
2012,10522,"$200,000 or more",371387
2012,10522,"$25,000 under $50,000",30535
2012,10522,"$50,000 under $75,000",43358
2012,10522,"$75,000 under $100,000",45767
2012,10523,"$1 under $25,000",19806
2012,10523,"$100,000 under $200,000",101754
2012,10523,"$200,000 or more",112321
2012,10523,"$25,000 under $50,000",37782
2012,10523,"$50,000 under $75,000",42453
2012,10523,"$75,000 under $100,000",37859
2012,10524,"$1 under $25,000",5691
2012,10524,"$100,000 under $200,000",68368
2012,10524,"$200,000 or more",158423
2012,10524,"$25,000 under $50,000",10371
2012,10524,"$50,000 under $75,000",15695
2012,10524,"$75,000 under $100,000",20718
2012,10526,"$1 under $25,000",3012
2012,10526,"$100,000 under $200,000",26157
2012,10526,"$200,000 or more",127639
2012,10526,"$25,000 under $50,000",6041
2012,10526,"$50,000 under $75,000",5570
2012,10526,"$75,000 under $100,000",7932
2012,10527,"$1 under $25,000",961
2012,10527,"$100,000 under $200,000",16684
2012,10527,"$200,000 or more",39515
2012,10527,"$25,000 under $50,000",1763
2012,10527,"$50,000 under $75,000",2458
2012,10527,"$75,000 under $100,000",3422
2012,10528,"$1 under $25,000",17011
2012,10528,"$100,000 under $200,000",124438
2012,10528,"$200,000 or more",1030116
2012,10528,"$25,000 under $50,000",32864
2012,10528,"$50,000 under $75,000",51649
2012,10528,"$75,000 under $100,000",46082
2012,10530,"$1 under $25,000",17165
2012,10530,"$100,000 under $200,000",222595
2012,10530,"$200,000 or more",429251
2012,10530,"$25,000 under $50,000",41266
2012,10530,"$50,000 under $75,000",70037
2012,10530,"$75,000 under $100,000",77885
2012,10532,"$1 under $25,000",7385
2012,10532,"$100,000 under $200,000",91370
2012,10532,"$200,000 or more",69013
2012,10532,"$25,000 under $50,000",15618
2012,10532,"$50,000 under $75,000",22452
2012,10532,"$75,000 under $100,000",23470
2012,10533,"$1 under $25,000",8806
2012,10533,"$100,000 under $200,000",106404
2012,10533,"$200,000 or more",735005
2012,10533,"$25,000 under $50,000",15663
2012,10533,"$50,000 under $75,000",25801
2012,10533,"$75,000 under $100,000",29548
2012,10535,"$1 under $25,000",1622
2012,10535,"$100,000 under $200,000",9807
2012,10535,"$200,000 or more",0
2012,10535,"$25,000 under $50,000",2890
2012,10535,"$50,000 under $75,000",3306
2012,10535,"$75,000 under $100,000",3115
2012,10536,"$1 under $25,000",14445
2012,10536,"$100,000 under $200,000",152904
2012,10536,"$200,000 or more",1226500
2012,10536,"$25,000 under $50,000",23763
2012,10536,"$50,000 under $75,000",26812
2012,10536,"$75,000 under $100,000",30836
2012,10537,"$1 under $25,000",4141
2012,10537,"$100,000 under $200,000",26470
2012,10537,"$200,000 or more",7552
2012,10537,"$25,000 under $50,000",9104
2012,10537,"$50,000 under $75,000",11000
2012,10537,"$75,000 under $100,000",12224
2012,10538,"$1 under $25,000",16772
2012,10538,"$100,000 under $200,000",192270
2012,10538,"$200,000 or more",2537550
2012,10538,"$25,000 under $50,000",30195
2012,10538,"$50,000 under $75,000",47381
2012,10538,"$75,000 under $100,000",47589
2012,10541,"$1 under $25,000",37505
2012,10541,"$100,000 under $200,000",394097
2012,10541,"$200,000 or more",266300
2012,10541,"$25,000 under $50,000",73577
2012,10541,"$50,000 under $75,000",95523
2012,10541,"$75,000 under $100,000",117349
2012,10543,"$1 under $25,000",32151
2012,10543,"$100,000 under $200,000",229361
2012,10543,"$200,000 or more",1237352
2012,10543,"$25,000 under $50,000",59686
2012,10543,"$50,000 under $75,000",73906
2012,10543,"$75,000 under $100,000",72045
2012,10546,"$1 under $25,000",1572
2012,10546,"$100,000 under $200,000",21301
2012,10546,"$200,000 or more",107137
2012,10546,"$25,000 under $50,000",3312
2012,10546,"$50,000 under $75,000",5104
2012,10546,"$75,000 under $100,000",5035
2012,10547,"$1 under $25,000",11596
2012,10547,"$100,000 under $200,000",104039
2012,10547,"$200,000 or more",69283
2012,10547,"$25,000 under $50,000",23591
2012,10547,"$50,000 under $75,000",31938
2012,10547,"$75,000 under $100,000",29166
2012,10548,"$1 under $25,000",4957
2012,10548,"$100,000 under $200,000",48349
2012,10548,"$200,000 or more",31164
2012,10548,"$25,000 under $50,000",9805
2012,10548,"$50,000 under $75,000",14749
