created_date,borough,count
2019-12-30/2020-01-05,BRONX,28
2019-12-30/2020-01-05,BROOKLYN,54
2019-12-30/2020-01-05,MANHATTAN,42
2019-12-30/2020-01-05,QUEENS,13
2019-12-30/2020-01-05,STATEN ISLAND,3
2020-01-06/2020-01-12,BRONX,45
2020-01-06/2020-01-12,BROOKLYN,91
2020-01-06/2020-01-12,MANHATTAN,59
2020-01-06/2020-01-12,QUEENS,32
2020-01-06/2020-01-12,STATEN ISLAND,9
2020-01-13/2020-01-19,BRONX,41
2020-01-13/2020-01-19,BROOKLYN,91
2020-01-13/2020-01-19,MANHATTAN,69
2020-01-13/2020-01-19,QUEENS,34
2020-01-13/2020-01-19,STATEN ISLAND,9
2020-01-20/2020-01-26,BRONX,40
2020-01-20/2020-01-26,BROOKLYN,90
2020-01-20/2020-01-26,MANHATTAN,80
2020-01-20/2020-01-26,QUEENS,35
2020-01-20/2020-01-26,STATEN ISLAND,4
2020-01-27/2020-02-02,BRONX,34
2020-01-27/2020-02-02,BROOKLYN,102
2020-01-27/2020-02-02,MANHATTAN,62
2020-01-27/2020-02-02,QUEENS,43
2020-01-27/2020-02-02,STATEN ISLAND,8
2020-02-03/2020-02-09,BRONX,37
2020-02-03/2020-02-09,BROOKLYN,103
2020-02-03/2020-02-09,MANHATTAN,72
2020-02-03/2020-02-09,QUEENS,30
2020-02-03/2020-02-09,STATEN ISLAND,6
2020-02-10/2020-02-16,BRONX,25
2020-02-10/2020-02-16,BROOKLYN,80
2020-02-10/2020-02-16,MANHATTAN,84
2020-02-10/2020-02-16,QUEENS,32
2020-02-10/2020-02-16,STATEN ISLAND,12
2020-02-17/2020-02-23,BRONX,29
2020-02-17/2020-02-23,BROOKLYN,98
2020-02-17/2020-02-23,MANHATTAN,73
2020-02-17/2020-02-23,QUEENS,41
2020-02-17/2020-02-23,STATEN ISLAND,10
2020-02-24/2020-03-01,BRONX,40
2020-02-24/2020-03-01,BROOKLYN,118
2020-02-24/2020-03-01,MANHATTAN,67
2020-02-24/2020-03-01,QUEENS,33
2020-02-24/2020-03-01,STATEN ISLAND,12
2020-03-02/2020-03-08,BRONX,40
2020-03-02/2020-03-08,BROOKLYN,102
2020-03-02/2020-03-08,MANHATTAN,81
2020-03-02/2020-03-08,QUEENS,47
2020-03-02/2020-03-08,STATEN ISLAND,4
2020-03-09/2020-03-15,BRONX,42
2020-03-09/2020-03-15,BROOKLYN,93
2020-03-09/2020-03-15,MANHATTAN,71
