created_date,borough,count
2020-01-01,BRONX,3
2020-01-01,BROOKLYN,7
2020-01-01,MANHATTAN,4
2020-01-01,QUEENS,2
2020-01-01,STATEN ISLAND,1
2020-01-02,BRONX,7
2020-01-02,BROOKLYN,21
2020-01-02,MANHATTAN,7
2020-01-02,QUEENS,4
2020-01-02,STATEN ISLAND,1
2020-01-03,BRONX,10
2020-01-03,BROOKLYN,13
2020-01-03,MANHATTAN,16
2020-01-03,QUEENS,1
2020-01-03,STATEN ISLAND,1
2020-01-04,BRONX,4
2020-01-04,BROOKLYN,8
2020-01-04,MANHATTAN,10
2020-01-04,QUEENS,3
2020-01-05,BRONX,4
2020-01-05,BROOKLYN,5
2020-01-05,MANHATTAN,5
2020-01-05,QUEENS,3
2020-01-06,BRONX,7
2020-01-06,BROOKLYN,14
2020-01-06,MANHATTAN,13
2020-01-06,QUEENS,6
2020-01-06,STATEN ISLAND,4
2020-01-07,BRONX,16
2020-01-07,BROOKLYN,24
2020-01-07,MANHATTAN,11
2020-01-07,QUEENS,5
2020-01-07,STATEN ISLAND,2
2020-01-08,BRONX,8
2020-01-08,BROOKLYN,12
2020-01-08,MANHATTAN,7
2020-01-08,QUEENS,2
2020-01-09,BRONX,5
2020-01-09,BROOKLYN,4
2020-01-09,MANHATTAN,6
2020-01-09,QUEENS,4
2020-01-09,STATEN ISLAND,1
2020-01-10,BRONX,3
2020-01-10,BROOKLYN,15
2020-01-10,MANHATTAN,7
2020-01-10,QUEENS,6
2020-01-11,BRONX,4
2020-01-11,BROOKLYN,7
2020-01-11,MANHATTAN,7
2020-01-11,QUEENS,7
2020-01-12,BRONX,2
2020-01-12,BROOKLYN,15
2020-01-12,MANHATTAN,8
2020-01-12,QUEENS,2
2020-01-12,STATEN ISLAND,2
2020-01-13,BRONX,6
2020-01-13,BROOKLYN,19
2020-01-13,MANHATTAN,8
2020-01-13,QUEENS,11
2020-01-13,STATEN ISLAND,3
2020-01-14,BRONX,5
2020-01-14,BROOKLYN,25
2020-01-14,MANHATTAN,22
2020-01-14,QUEENS,5
2020-01-14,STATEN ISLAND,1
2020-01-15,BRONX,7
2020-01-15,BROOKLYN,9
2020-01-15,MANHATTAN,9
2020-01-15,QUEENS,5
2020-01-15,STATEN ISLAND,1
2020-01-16,BRONX,8
2020-01-16,BROOKLYN,18
2020-01-16,MANHATTAN,16
2020-01-16,QUEENS,6
2020-01-16,STATEN ISLAND,2
2020-01-17,BRONX,6
2020-01-17,BROOKLYN,11
2020-01-17,MANHATTAN,3
2020-01-17,QUEENS,3
2020-01-17,STATEN ISLAND,1
2020-01-18,BRONX,4
2020-01-18,BROOKLYN,6
2020-01-18,MANHATTAN,6
2020-01-18,QUEENS,2
2020-01-18,STATEN ISLAND,1
2020-01-19,BRONX,5
2020-01-19,BROOKLYN,3
2020-01-19,MANHATTAN,5
2020-01-19,QUEENS,2
2020-01-20,BRONX,6
2020-01-20,BROOKLYN,8
2020-01-20,MANHATTAN,1
2020-01-20,QUEENS,1
2020-01-21,BRONX,4
2020-01-21,BROOKLYN,9
2020-01-21,MANHATTAN,13
2020-01-21,QUEENS,9
2020-01-21,STATEN ISLAND,1
2020-01-22,BRONX,9
2020-01-22,BROOKLYN,15
2020-01-22,MANHATTAN,12
2020-01-22,QUEENS,4
2020-01-23,BRONX,7
2020-01-23,BROOKLYN,15
2020-01-23,MANHATTAN,14
2020-01-23,QUEENS,7
2020-01-24,BRONX,7
2020-01-24,BROOKLYN,18
2020-01-24,MANHATTAN,16
