created_date,borough,count
2025-12-31,BRONX,4
2025-12-31,BROOKLYN,5
2025-12-31,MANHATTAN,5
2025-12-31,QUEENS,7
2025-12-31,STATEN ISLAND,1
2026-01-01,BRONX,7
2026-01-01,BROOKLYN,3
2026-01-01,MANHATTAN,3
2026-01-01,QUEENS,4
2026-01-02,BRONX,4
2026-01-02,BROOKLYN,10
2026-01-02,MANHATTAN,10
2026-01-02,QUEENS,4
2026-01-02,STATEN ISLAND,1
2026-01-03,BRONX,8
2026-01-03,BROOKLYN,8
2026-01-03,MANHATTAN,9
2026-01-03,STATEN ISLAND,1
2026-01-04,BRONX,6
2026-01-04,BROOKLYN,6
2026-01-04,MANHATTAN,9
2026-01-04,QUEENS,2
2026-01-04,STATEN ISLAND,1
2026-01-05,BRONX,9
2026-01-05,BROOKLYN,11
2026-01-05,MANHATTAN,11
2026-01-05,QUEENS,9
2026-01-05,STATEN ISLAND,1
2026-01-06,BRONX,7
2026-01-06,BROOKLYN,9
2026-01-06,MANHATTAN,14
2026-01-06,QUEENS,5
2026-01-06,STATEN ISLAND,2
2026-01-07,BRONX,8
2026-01-07,BROOKLYN,9
2026-01-07,MANHATTAN,17
2026-01-07,QUEENS,8
2026-01-08,BRONX,8
2026-01-08,BROOKLYN,9
2026-01-08,MANHATTAN,11
2026-01-08,QUEENS,4
2026-01-09,BRONX,19
2026-01-09,BROOKLYN,23
2026-01-09,MANHATTAN,6
2026-01-09,QUEENS,6
2026-01-10,BRONX,4
2026-01-10,BROOKLYN,6
2026-01-10,MANHATTAN,6
2026-01-10,QUEENS,2
2026-01-10,STATEN ISLAND,1
2026-01-11,BRONX,5
2026-01-11,BROOKLYN,11
2026-01-11,MANHATTAN,16
2026-01-11,QUEENS,1
2026-01-12,BRONX,5
2026-01-12,BROOKLYN,15
2026-01-12,MANHATTAN,9
2026-01-12,QUEENS,5
2026-01-12,STATEN ISLAND,1
2026-01-13,BRONX,13
2026-01-13,BROOKLYN,17
2026-01-13,MANHATTAN,12
2026-01-13,QUEENS,8
2026-01-14,BRONX,5
2026-01-14,BROOKLYN,20
2026-01-14,MANHATTAN,14
2026-01-14,QUEENS,9
2026-01-14,STATEN ISLAND,1
2026-01-15,BRONX,4
2026-01-15,BROOKLYN,15
2026-01-15,MANHATTAN,10
2026-01-15,QUEENS,4
2026-01-16,BRONX,4
2026-01-16,BROOKLYN,10
2026-01-16,MANHATTAN,8
2026-01-16,QUEENS,3
2026-01-17,BRONX,6
2026-01-17,BROOKLYN,7
2026-01-17,MANHATTAN,7
2026-01-17,QUEENS,1
2026-01-18,BRONX,4
2026-01-18,BROOKLYN,20
2026-01-18,MANHATTAN,5
2026-01-18,QUEENS,2
2026-01-19,BRONX,9
2026-01-19,BROOKLYN,9
2026-01-19,MANHATTAN,8
2026-01-19,QUEENS,3
2026-01-20,BRONX,9
2026-01-20,BROOKLYN,12
2026-01-20,MANHATTAN,8
2026-01-20,QUEENS,4
2026-01-20,STATEN ISLAND,2
2026-01-21,BRONX,10
2026-01-21,BROOKLYN,12
2026-01-21,MANHATTAN,16
2026-01-21,QUEENS,2
2026-01-22,BRONX,3
2026-01-22,BROOKLYN,12
2026-01-22,MANHATTAN,11
2026-01-22,QUEENS,5
2026-01-23,BRONX,3
2026-01-23,BROOKLYN,13
2026-01-23,MANHATTAN,13
2026-01-23,QUEENS,4
2026-01-24,BRONX,4
2026-01-24,BROOKLYN,5
2026-01-24,MANHATTAN,8
2026-01-24,QUEENS,3
2026-01-24,STATEN ISLAND,1
2026-01-25,BRONX,2
2026-01-25,MANHATTAN,3
2026-01-25,QUEENS,2
2026-01-26,BRONX,1
2026-01-26,BROOKLYN,10
2026-01-26,MANHATTAN,12
2026-01-26,QUEENS,1
2026-01-27,BRONX,4
2026-01-27,BROOKLYN,8
2026-01-27,MANHATTAN,11
2026-01-27,QUEENS,1
2026-01-27,STATEN ISLAND,5
2026-01-28,BRONX,4
2026-01-28,BROOKLYN,7
2026-01-28,MANHATTAN,4
2026-01-28,QUEENS,4
2026-01-29,BRONX,5
2026-01-29,BROOKLYN,7
2026-01-29,MANHATTAN,8
2026-01-29,QUEENS,1
2026-01-30,BRONX,5
2026-01-30,BROOKLYN,5
2026-01-30,MANHATTAN,10
2026-01-30,QUEENS,3
2026-01-31,BRONX,1
2026-01-31,BROOKLYN,1
2026-01-31,MANHATTAN,3
2026-01-31,QUEENS,1
2026-01-31,STATEN ISLAND,1
2026-02-01,BRONX,5
2026-02-01,BROOKLYN,8
2026-02-01,MANHATTAN,4
2026-02-01,QUEENS,2
2026-02-01,STATEN ISLAND,1
2026-02-02,BRONX,6
2026-02-02,BROOKLYN,10
2026-02-02,MANHATTAN,6
2026-02-02,QUEENS,4
2026-02-03,BRONX,4
2026-02-03,BROOKLYN,9
2026-02-03,MANHATTAN,12
2026-02-03,QUEENS,4
2026-02-03,STATEN ISLAND,1
2026-02-04,BRONX,3
2026-02-04,BROOKLYN,9
2026-02-04,MANHATTAN,6
2026-02-04,QUEENS,6
2026-02-04,STATEN ISLAND,1
2026-02-05,BRONX,9
2026-02-05,BROOKLYN,6
2026-02-05,MANHATTAN,7
2026-02-06,BRONX,3
2026-02-06,BROOKLYN,12
2026-02-06,MANHATTAN,4
2026-02-06,QUEENS,4
2026-02-06,STATEN ISLAND,1
2026-02-07,BRONX,4
2026-02-07,BROOKLYN,4
2026-02-07,MANHATTAN,7
2026-02-07,QUEENS,3
2026-02-08,BRONX,5
2026-02-08,BROOKLYN,5
2026-02-08,MANHATTAN,6
2026-02-08,QUEENS,4
2026-02-09,BRONX,13
2026-02-09,BROOKLYN,9
2026-02-09,MANHATTAN,9
2026-02-09,QUEENS,2
2026-02-10,BRONX,7
2026-02-10,BROOKLYN,12
