the_geom,UNITID,LATITUDE,LONGITUDE,POINT_X,POINT_Y
POINT (-73.78500418204744 40.74170533182196),CB422934,40.74170533,-73.78500418,1043826.86556,209572.985386
POINT (-73.80924644742672 40.70497191173642),CB460384,40.70497191,-73.80924644,1037138.3166,196174.340154
POINT (-73.79321304770853 40.786100545114785),CB418594,40.78610054,-73.79321304,1041513.95225,225742.103405
POINT (-73.81332519289701 40.68284001700933),CB402561,40.68284001,-73.81332519,1036024.62896,188108.620986
POINT (-74.11131613471352 40.58184005293771),CB511457,40.58184005,-74.11131613,953329.472971,151276.098566
POINT (-73.74799024929919 40.70263543289327),CB448485,40.70263543,-73.74799024,1054124.6136,195366.017351
POINT (-73.90188461124495 40.7343952913448),CB431561,40.73439529,-73.90188461,1011441.47456,206851.823102
POINT (-73.87530897309564 40.72751088157816),CB427063,40.72751088,-73.87530897,1018810.1521,204352.986842
POINT (-74.10235768819686 40.574619106269125),CB510165,40.5746191,-74.10235768,955814.805053,148642.295038
POINT (-73.8249005431373 40.66737992370471),CB401948,40.66737992,-73.82490054,1032825.44604,182469.448353
POINT (-73.79130836158373 40.753414425535006),CB420108,40.75341442,-73.79130836,1042069.77278,213834.747063
POINT (-73.89460780846376 40.75920673089009),CB410258,40.75920673,-73.8946078,1013447.27424,215893.761813
POINT (-73.85044058527431 40.74100547260632),CB411191,40.74100547,-73.85044058,1025694.43107,209280.272796
POINT (-73.7658290616741 40.68701093145018),CB455915,40.68701093,-73.76582906,1049193.68501,189659.844907
POINT (-73.76151490966747 40.71634628924804),CB455089,40.71634628,-73.7615149,1050361.0478,200350.778946
POINT (-73.79523163592623 40.77644270452406),CB418691,40.7764427,-73.79523163,1040963.18624,222222.121068
POINT (-73.83004326557688 40.68871093978892),CB438055,40.68871093,-73.83004326,1031383.69443,190238.126144
POINT (-73.78127272283798 40.686672413996874),CB456794,40.68667241,-73.78127272,1044910.9418,189525.441322
POINT (-73.91180821085719 40.767915450285635),CB429587,40.76791545,-73.91180821,1008678.97646,219061.368242
POINT (-73.7067702914245 40.73298398681213),CB452935,40.73298398,-73.70677029,1065516.59768,206458.431515
POINT (-73.78860673609823 40.58984978250927),CB405687,40.58984978,-73.78860673,1042962.08738,154245.441087
POINT (-73.7369043750982 40.65311586167047),CB444892,40.65311586,-73.73690437,1057252.56594,177333.733105
POINT (-73.7620419052832 40.698128477087174),CB455864,40.69812847,-73.7620419,1050232.98862,193713.10907
POINT (-73.74537856331382 40.72814485530619),CB450112,40.72814485,-73.74537856,1054821.73765,204661.932152
POINT (-73.78226278533653 40.75779412576268),CB420636,40.75779412,-73.78226278,1044571.95435,215436.509436
POINT (-74.09219552484063 40.601723228335935),CB512895,40.60172322,-74.09219552,958648.268774,158513.869404
POINT (-74.17169486993556 40.60463277163912),CB550130,40.60463277,-74.17169486,936574.233142,159607.141525
POINT (-73.72341629911199 40.74026426153223),CB449410,40.74026426,-73.72341629,1060894.91196,209095.847177
POINT (-73.84584461583519 40.70971212798044),CB435881,40.70971212,-73.84584461,1026988.08353,197881.363865
POINT (-73.79758692804339 40.68796423290828),CB460787,40.68796423,-73.79758692,1040385.34668,189985.211063
POINT (-73.80622522455799 40.68658260635099),CB460723,40.6865826,-73.80622522,1037990.79993,189476.42791
POINT (-73.83046971610332 40.752049707788004),CB413560,40.7520497,-73.83046971,1031220.76769,213314.113528
POINT (-73.75187951827459 40.69625684755889),CB453235,40.69625684,-73.75187951,1053052.82337,193039.040141
POINT (-73.90300607501023 40.71286010565479),CB425846,40.7128601,-73.90300607,1011139.36237,199005.548678
POINT (-73.83500201231625 40.761045783811745),CB413486,40.76104578,-73.83500201,1029958.85866,216589.273279
POINT (-73.88230100574025 40.714238515893705),CB412869,40.71423851,-73.882301,1016878.69455,199514.779099
POINT (-73.75037642943528 40.68581909866902),CB453385,40.68581909,-73.75037642,1053480.45945,189237.461713
POINT (-73.70900537529148 40.729123894299306),CB452868,40.72912389,-73.70900537,1064901.83375,205050.021254
POINT (-73.70573705136097 40.744032969706446),CB451313,40.74403296,-73.70573705,1065789.42933,210484.862878
POINT (-74.1445872290606 40.544050364460375),CB504193,40.54405036,-74.14458722,944064.970749,137521.911861
POINT (-74.15075831378758 40.55419904595664),CB504686,40.55419904,-74.15075831,942356.210355,141222.205466
POINT (-74.25002462465756 40.507457752003475),CB508224,40.50745775,-74.25002462,914722.839019,124256.430856
POINT (-73.81883056112518 40.691333462132576),CB439607,40.69133346,-73.81883056,1034491.30645,191199.817985
POINT (-73.77395565775072 40.76334595895453),CB420780,40.76334595,-73.77395565,1046868.13785,217465.04712
POINT (-73.76146560554568 40.734986600928295),CB422485,40.7349866,-73.7614656,1050356.22239,207142.033927
POINT (-74.15311498752277 40.55743396300141),CB506074,40.55743396,-74.15311498,941703.381867,142401.898036
POINT (-73.78383807845205 40.763190477174135),CB421817,40.76319047,-73.78383807,1044130.68417,217401.490175
POINT (-73.90252787240395 40.77692040383091),CB428443,40.7769204,-73.90252787,1011245.96295,222344.895926
POINT (-73.90733543214347 40.75709937949041),CB430754,40.75709937,-73.90733543,1009922.09675,215121.999241
POINT (-73.70687311954305 40.73591624935388),CB451942,40.73591624,-73.70687311,1065484.5248,207526.645471
POINT (-73.72324585942083 40.76176498784517),CB422187,40.76176498,-73.72324585,1060917.39409,216929.365741
POINT (-73.84646176096057 40.65487487970209),CB404594,40.65487487,-73.84646176,1026852.0045,177902.297389
POINT (-73.73690753658421 40.76322615171728),CB443750,40.76322615,-73.73690753,1057131.20157,217450.05143
POINT (-73.84568050712862 40.674559868898),CB400697,40.67455986,-73.8456805,1027056.14296,185074.46307
POINT (-73.8097898265557 40.707470897746724),CB441595,40.70747089,-73.80978982,1036985.68261,197084.466061
POINT (-73.89210693149664 40.69794891869837),CB428030,40.69794891,-73.89210693,1014167.59218,193576.493827
POINT (-73.85455996569803 40.66386487371867),CB400530,40.66386487,-73.85455996,1024599.57291,181173.764213
POINT (-73.87199744164941 40.75517476388359),CB409708,40.75517476,-73.87199744,1019713.26864,214433.131131
POINT (-73.83374088269163 40.580834738542215),CB404934,40.58083473,-73.83374088,1030432.83969,150934.018429
POINT (-73.73959584038141 40.72014406627855),CB449602,40.72014406,-73.73959584,1056433.15738,201751.722095
POINT (-74.16612572543018 40.61787833556614),CB512281,40.61787833,-74.16612572,938129.807969,164429.854622
POINT (-74.15676967208134 40.59005052495948),CB511868,40.59005052,-74.15676967,940709.109103,154286.695185
POINT (-73.74024482353008 40.5995951427184),CB407076,40.59959514,-73.74024482,1056383.49739,157832.030451
POINT (-73.8981957347789 40.69472811746108),CB427756,40.69472811,-73.89819573,1012480.5968,192401.040637
POINT (-73.81848076308353 40.713582433317),CB442461,40.71358243,-73.81848076,1034571.51405,199305.965867
POINT (-73.77608555512168 40.66798799479438),CB458559,40.66798799,-73.77608555,1046366.92751,182721.827923
POINT (-73.82595277716202 40.68604282343158),CB402717,40.68604282,-73.82595277,1032520.02974,189268.282902
POINT (-73.89619652037227 40.74641070120627),CB430373,40.7464107,-73.89619652,1013012.67093,211231.231775
POINT (-74.15090118691026 40.56471712700576),CB504922,40.56471712,-74.15090118,942323.109055,145054.260262
POINT (-73.910746147184 40.755156112244045),CB430478,40.75515611,-73.91074614,1008977.90283,214413.022945
POINT (-74.09940377756627 40.575823356605184),CB511531,40.57582335,-74.09940377,956635.905602,149080.087895
POINT (-73.8935743754739 40.72271305703256),CB427691,40.72271305,-73.89357437,1013749.72427,202598.313642
POINT (-73.73001209734763 40.711897689403784),CB450094,40.71189768,-73.73001209,1059098.99048,198755.372384
POINT (-73.90038465780187 40.69678915494287),CB425737,40.69678915,-73.90038465,1011872.74886,193151.239133
POINT (-74.12788970615159 40.60803821049377),CB510608,40.60803821,-74.1278897,948739.733708,160827.029512
POINT (-73.75123888043979 40.68864519970546),CB453412,40.68864519,-73.75123888,1053238.34445,190266.408082
POINT (-73.79240443188247 40.67560094357068),CB459567,40.67560094,-73.79240443,1041833.28367,185484.283653
POINT (-73.76776014511445 40.74790698111643),CB424614,40.74790698,-73.76776014,1048599.30936,211844.634817
POINT (-73.87013690499556 40.755201105778596),CB409798,40.7552011,-73.8701369,1020228.71797,214443.486972
POINT (-74.14843673091053 40.56258021826822),CB504903,40.56258021,-74.14843673,943006.521943,144274.563521
POINT (-74.14624614222551 40.55924918221344),CB506784,40.55924918,-74.14624614,943613.155201,143059.964049
POINT (-73.82839403371261 40.76781440352724),CB414572,40.7678144,-73.82839403,1031784.61226,219058.817116
POINT (-74.09432407055476 40.5904189951585),CB510321,40.59041899,-74.09432407,958052.759466,154396.080884
POINT (-73.86450071065991 40.7337363509444),CB434609,40.73373635,-73.86450071,1021802.32763,206625.565966
POINT (-74.13974017446277 40.63761935269415),CB502909,40.63761935,-74.13974017,945466.489688,171609.235259
POINT (-74.25278739908813 40.51189958151996),CB507058,40.51189958,-74.25278739,913959.235299,125876.889065
POINT (-73.7709158521346 40.669714016705846),CB456371,40.66971401,-73.77091585,1047799.42597,183354.372671
POINT (-73.84808768038613 40.65793103549426),CB403770,40.65793103,-73.84808768,1026398.93283,179014.95173
POINT (-73.89509944509786 40.775120640655096),CB428543,40.77512064,-73.89509944,1013304.13066,221691.558703
POINT (-73.77863899874522 40.695562543217065),CB456509,40.69556254,-73.77863899,1045633.18176,192766.200578
POINT (-73.8995111521342 40.702952082408366),CB424795,40.70295208,-73.89951115,1012112.39097,195396.852044
POINT (-73.86155500569369 40.7325767566419),CB434655,40.73257675,-73.861555,1022619.36854,206204.366483
POINT (-73.94886551002467 40.75109452428465),CB431651,40.75109452,-73.94886551,998417.746274,212924.792286
POINT (-73.86378538766104 40.682543476131634),CB437156,40.68254347,-73.86378538,1022029.57499,187974.789
POINT (-73.71986597961637 40.73914455615125),CB450856,40.73914455,-73.71986597,1061880.05264,208691.031521
POINT (-74.08891623261981 40.64653144204947),CB501277,40.64653144,-74.08891623,959575.464194,174837.740173
POINT (-73.86982749823103 40.75176107621516),CB409760,40.75176107,-73.86982749,1020316.30187,213190.30141
POINT (-73.84878436892144 40.66838954338026),CB401066,40.66838954,-73.84878436,1026199.05517,182824.939768
POINT (-73.76725049224184 40.60700291121854),CB407427,40.60700291,-73.76725049,1048876.92451,160509.779366
POINT (-73.90547157515631 40.70157217057844),CB426002,40.70157217,-73.90547157,1010460.29666,194892.269622
POINT (-73.83612638136881 40.69041634844767),CB437762,40.69041634,-73.83612638,1029695.51812,190856.240747
POINT (-73.87297945529788 40.713359424615554),CB425073,40.71335942,-73.87297945,1019463.29165,199198.109399
POINT (-73.86891846334066 40.706020753296464),CB427835,40.70602075,-73.86891846,1020593.10095,196526.071355
POINT (-74.15219006149435 40.537049282495474),CB505090,40.53704928,-74.15219006,941947.491293,134974.835187
POINT (-73.83319872735123 40.746055057261145),CB413388,40.74605505,-73.83319872,1030468.81621,211128.621913
POINT (-73.86332506576066 40.67945789707455),CB436570,40.67945789,-73.86332506,1022159.00066,186850.823746
POINT (-73.84092038503523 40.67093572322092),CB401336,40.67093572,-73.84092038,1028378.93301,183756.447677
POINT (-73.84675406233708 40.78493936227601),CB415627,40.78493936,-73.84675406,1026688.00046,225288.575853
POINT (-74.11283374380216 40.637425585122344),CB501877,40.63742558,-74.11283374,952934.00919,171527.874686
POINT (-73.80340999957669 40.771097921310535),CB418280,40.77109792,-73.80340999,1038702.45913,220269.653346
POINT (-73.78932948398682 40.73981241231824),CB439777,40.73981241,-73.78932948,1042629.9547,208880.424582
POINT (-74.13165455237393 40.620978062835675),CB503132,40.62097806,-74.13165455,947701.460609,165542.89942
POINT (-73.79310186627498 40.67909056959767),CB458945,40.67909056,-73.79310186,1041636.82536,186755.193449
POINT (-73.90256967719675 40.75601061882485),CB430731,40.75601061,-73.90256967,1011242.85792,214726.761074
POINT (-74.1530294885939 40.60900333281026),CB511419,40.60900333,-74.15302948,941759.961809,161189.840889
POINT (-73.87939808033268 40.72238880842367),CB427921,40.7223888,-73.87939808,1017679.35932,202485.272036
POINT (-73.8951213139912 40.74455529817744),CB432388,40.74455529,-73.89512131,1013311.40662,210555.604511
POINT (-73.83051002079105 40.74263601041651),CB416374,40.74263601,-73.83051002,1031216.23681,209884.38636
POINT (-73.74967284854483 40.72539785701534),CB449261,40.72539785,-73.74967284,1053634.38239,203657.689114
POINT (-73.84916566891746 40.68670775550589),CB435993,40.68670775,-73.84916566,1026081.78629,189498.598277
POINT (-73.90192441013221 40.70904185331947),CB412946,40.70904185,-73.90192441,1011440.78678,197614.778598
POINT (-73.81941847828291 40.74821537514781),CB414779,40.74821537,-73.81941847,1034285.5454,211923.264519
POINT (-73.74584429926266 40.69323434201242),CB453329,40.69323434,-73.74584429,1054729.55604,191942.654841
POINT (-73.80053050092161 40.78789542978814),CB418571,40.78789542,-73.8005305,1039486.09956,226391.340713
POINT (-74.1135452723497 40.57645854432392),CB509545,40.57645854,-74.11354527,952707.739481,149316.277354
POINT (-73.7443535783502 40.596598219553755),CB407998,40.59659821,-73.74435357,1055245.69408,156736.822808
POINT (-73.75469656803345 40.72535379657495),CB450532,40.72535379,-73.75469656,1052241.9825,203637.697343
POINT (-73.9298702356345 40.77077498847676),CB429628,40.77077498,-73.92987023,1003674.9933,220098.671368
POINT (-73.86299504967863 40.6878387844766),CB438275,40.68783878,-73.86299504,1022245.76034,189904.363183
POINT (-73.73385031041882 40.69716457889996),CB446825,40.69716457,-73.73385031,1058051.2314,193384.427405
POINT (-73.82433734797378 40.787429240531345),CB417725,40.78742924,-73.82433734,1032893.97624,226207.376331
POINT (-73.80743233534238 40.76342627578131),CB415588,40.76342627,-73.80743233,1037594.4791,217472.15055
POINT (-74.12365229453209 40.6210778913973),CB503154,40.62107789,-74.12365229,949923.012336,165576.032152
POINT (-73.7837027039319 40.7453465311745),CB421760,40.74534653,-73.7837027,1044184.23801,210900.474192
POINT (-74.08620437390428 40.62758337487554),CB502325,40.62758337,-74.08620437,960321.219816,167933.698536
POINT (-73.72217318258768 40.733657553469044),CB451104,40.73365755,-73.72217318,1061247.02873,206689.917329
POINT (-73.8636549873905 40.75783973219326),CB409810,40.75783973,-73.86365498,1022023.04293,215407.552056
POINT (-73.91859229008341 40.762106608980716),CB429006,40.7621066,-73.91859229,1006801.76542,216943.197279
POINT (-73.9157638292041 40.74323022126122),CB433287,40.74323022,-73.91576382,1007591.92581,210066.662487
POINT (-73.8421909512345 40.66394574225993),CB404088,40.66394574,-73.84219095,1028031.06424,181209.166578
POINT (-73.909201906646 40.72601446689941),CB433901,40.72601446,-73.9092019,1009416.7418,203796.242206
POINT (-74.11672163354054 40.57424245519252),CB509076,40.57424245,-74.11672163,951824.288283,148510.061668
POINT (-74.24967831548923 40.50597346290296),CB508220,40.50597346,-74.24967831,914817.599461,123715.398098
POINT (-73.87644409784774 40.726362516590235),CB427035,40.72636251,-73.87644409,1018496.1241,203934.156411
POINT (-73.90108517680349 40.72152819138449),CB412785,40.72152819,-73.90108517,1011668.32146,202164.190661
POINT (-73.76159927516603 40.70447145955443),CB452126,40.70447145,-73.76159927,1050349.43514,196024.371841
POINT (-73.75056971212055 40.668547415810906),CB446050,40.66854741,-73.75056971,1053444.77257,182944.764662
POINT (-73.75589482101923 40.70279730259318),CB454613,40.7027973,-73.75589482,1051932.75849,195418.784691
POINT (-73.79985720262145 40.684484024554735),CB458093,40.68448402,-73.7998572,1039758.62806,188715.826541
POINT (-73.77118794193976 40.594521163673114),CB406484,40.59452,-73.7711,1047795.5043,155959.4938
POINT (-73.89638793736327 40.70522512987849),CB424283,40.70522512,-73.89638793,1012977.38009,196225.999453
POINT (-73.80482733466351 40.779031862251045),CB417919,40.77903186,-73.80482733,1038303.43886,223159.369183
POINT (-73.91737081087868 40.744707021572594),CB432609,40.74470702,-73.91737081,1007146.12218,210604.283578
POINT (-73.88808567468448 40.70288791456004),CB426427,40.70288791,-73.88808567,1015280.34408,195377.314527
