the_geom,UNITID,LATITUDE,LONGITUDE,POINT_X,POINT_Y
POINT (-73.7320791526789 40.65304489675119),CB444944,40.65304489,-73.73207915,1058591.52143,177311.936897
POINT (-73.77345898442316 40.76057907611718),CB423790,40.76057907,-73.77345898,1047008.33147,216457.339562
POINT (-74.1652982461946 40.6224272618002),CB500699,40.62242726,-74.16529824,938362.661663,166086.710779
POINT (-73.84683682238371 40.58092030786348),CB405968,40.5809203,-73.84683682,1026795.04761,150958.560874
POINT (-74.17181063593739 40.56167533703417),CB509599,40.56167533,-74.17181063,936511.39122,143956.765524
POINT (-73.73280528692018 40.73098756267059),CB450646,40.73098756,-73.73280528,1058303.41982,205707.993902
POINT (-73.82625519394014 40.583527760964955),CB405496,40.58352776,-73.82625519,1032510.23781,151919.187282
POINT (-73.85072525942995 40.67795942527831),CB400637,40.67795942,-73.85072525,1025654.68758,186310.592158
POINT (-73.89494768268179 40.698620672192845),CB428041,40.69862067,-73.89494768,1013379.58921,193820.275893
POINT (-74.16662474890701 40.6275024900768),CB500053,40.62750248,-74.16662474,937997.937815,167936.445472
POINT (-73.7815239852898 40.667514891343544),CB459230,40.66751489,-73.78152398,1044858.66573,182545.653823
POINT (-73.79895969831291 40.775844901110226),CB418688,40.7758449,-73.79895969,1039931.15393,222001.930101
POINT (-73.71891639092561 40.74719622512114),CB454937,40.74719622,-73.71891639,1062133.78636,211625.338851
POINT (-73.73700058919142 40.76342158979945),CB422518,40.76342158,-73.73700058,1057105.21069,217521.178165
POINT (-73.89042345764351 40.6910328181985),CB426180,40.69103281,-73.89042345,1014637.55315,191057.335876
POINT (-73.93850067422753 40.750255623374976),CB431098,40.75025562,-73.93850067,1001289.72787,212620.999984
POINT (-74.13568324624676 40.63114186217857),CB503019,40.63114186,-74.13568324,946588.793928,169247.543932
POINT (-73.79325353782193 40.67519565045974),CB459586,40.67519565,-73.79325353,1041598.10586,185336.067158
POINT (-73.82183349200515 40.76396407648884),CB414211,40.76396407,-73.82183349,1033604.72391,217659.64674
POINT (-73.82415701462868 40.76324115302063),CB413908,40.76324115,-73.82415701,1032961.60377,217394.961837
POINT (-73.7388020753044 40.735265679126506),CB449761,40.73526567,-73.73880207,1056636.75823,207261.626223
POINT (-74.13956892035303 40.60442030301415),CB510827,40.6044203,-74.13956892,945494.74811,159513.884703
POINT (-73.8468012637779 40.580767782057364),CB405966,40.58076778,-73.84680126,1026805.02207,150903.009345
POINT (-74.15220816512476 40.5661456762381),CB504212,40.56614567,-74.15220816,941960.878589,145575.343159
POINT (-73.83060853410802 40.756877406222124),CB413584,40.7568774,-73.83060853,1031178.90497,215072.922965
POINT (-73.77547624164264 40.70125786424129),CB457051,40.70125786,-73.77547624,1046504.89084,194843.400332
POINT (-73.75656682479212 40.723201246308555),CB441044,40.72320124,-73.75656682,1051725.77484,202852.013595
POINT (-74.09526462647251 40.57527602775871),CB511514,40.57527602,-74.09526462,957785.532984,148879.404877
POINT (-73.84980962154995 40.65613317802291),CB486159,40.65613,-73.8498,1025922.294,178359.1193
POINT (-73.8592827449041 40.720375594780045),CB435778,40.72037559,-73.85928274,1023256.25511,201760.11401
POINT (-73.7901683318282 40.77365456283215),CB419895,40.77365456,-73.79016833,1042367.96295,221209.629073
POINT (-73.83970511288148 40.675656547087186),CB400916,40.67565654,-73.83970511,1028712.90366,185476.990233
POINT (-73.85926534824901 40.683807671554725),CB436793,40.68380767,-73.85926534,1023282.48186,188437.353175
POINT (-74.11856008172602 40.56823447941206),CB509929,40.56823447,-74.11856008,951310.598224,146321.895993
POINT (-73.80536798872528 40.74203090063636),CB414127,40.7420309,-73.80536798,1038183.65657,209678.406212
POINT (-73.77913427771657 40.74844743005066),CB421378,40.74844743,-73.77913427,1045447.2609,212033.386196
POINT (-73.83229769507977 40.69304103626367),CB439861,40.69304103,-73.83229769,1030755.45937,191814.499267
POINT (-73.83830786448044 40.57825066797947),CB404695,40.57825066,-73.83830786,1029165.97975,149990.204023
POINT (-73.91203643174316 40.72050280482751),CB412444,40.7205028,-73.91203643,1008633.1059,201787.373
POINT (-73.7933035724515 40.69559715544536),CB460414,40.69559715,-73.79330357,1041566.68839,192768.875104
POINT (-73.81685111381621 40.66802480816463),CB401686,40.6680248,-73.81685111,1035057.99459,182708.963797
POINT (-73.86535998376131 40.70959050912242),CB427117,40.7095905,-73.86535998,1021577.70985,197828.135753
POINT (-73.7616764689061 40.67092246335814),CB456726,40.67092246,-73.76167646,1050361.28669,183801.480616
POINT (-74.13316777407275 40.59749574908761),CB511655,40.59749574,-74.13316777,947268.370466,156988.327867
POINT (-73.75956566365669 40.74778454647291),CB422387,40.74778454,-73.75956566,1050869.96344,211806.153965
POINT (-74.20610955512845 40.55829573668795),CB512872,40.55829573,-74.20610955,926978.351214,142746.05642
POINT (-73.82698711275359 40.68973327389137),CB438080,40.68973327,-73.82698711,1032230.51322,190612.250763
POINT (-74.1582800306832 40.56209776553152),CB504278,40.56209776,-74.15828003,940271.224278,144103.582707
POINT (-73.8423722896866 40.68291023514952),CB400859,40.68291023,-73.84237228,1027968.32243,188118.370769
POINT (-73.94766663209101 40.713519637055875),CB318698,40.71351963,-73.94766663,998758.096014,199235.282907
POINT (-73.94180758944589 40.748224241750826),CB432983,40.74822424,-73.94180758,1000373.96676,211880.276532
POINT (-73.76996618985905 40.68305500169005),CB455951,40.683055,-73.76996618,1048050.10401,188215.549623
POINT (-73.89632129750325 40.779712381200056),CB428285,40.77971238,-73.89632129,1012963.73645,223364.080405
POINT (-73.90150999568728 40.71142793793369),CB412929,40.71142793,-73.90150999,1011554.7029,198484.22969
POINT (-73.74937793707376 40.70782932992259),CB448102,40.70782932,-73.74937793,1053734.43717,197257.198227
POINT (-74.11856241679946 40.63438171054249),CB502804,40.63438171,-74.11856241,951342.567501,170421.010145
POINT (-73.88944695119962 40.70001078117691),CB427554,40.70001078,-73.88944695,1014904.22783,194328.610614
POINT (-73.8630930026895 40.69416489835229),CB436634,40.69416489,-73.863093,1022214.9927,192209.106696
POINT (-74.0978719476875 40.58184503976567),CB509624,40.58184503,-74.09787194,957063.894659,151273.456404
POINT (-73.85394058591672 40.657040917778716),CB402428,40.65704091,-73.85394058,1024775.5533,178687.895455
POINT (-74.17849145511678 40.52682792510151),CB507566,40.52682792,-74.17849145,934629.219027,131264.761763
POINT (-73.8312803971859 40.76320747958031),CB413970,40.76320747,-73.83128039,1030988.3275,217378.812471
POINT (-73.74305872989791 40.73117644131201),CB450444,40.73117,-73.743,1055461.469,205768.3062
POINT (-73.86093786003343 40.757958939248745),CB409851,40.75795893,-73.86093786,1022775.72666,215452.166366
POINT (-73.84820074265437 40.71450700535344),CB435940,40.714507,-73.84820074,1026331.84361,199627.139675
POINT (-73.7655747208348 40.7045064145183),CB458055,40.70450641,-73.76557472,1049247.16412,196034.132102
POINT (-73.79478195240542 40.67843213500374),CB458925,40.67843213,-73.79478195,1041171.3869,186514.211171
POINT (-73.83230314215139 40.752444492278826),CB413548,40.75244449,-73.83230314,1030712.51632,213456.968167
POINT (-74.14495201099504 40.54886088089752),CB505138,40.54886088,-74.14495201,943966.487345,139274.663044
POINT (-74.17076257044613 40.55449811878919),CB506149,40.55449811,-74.17076257,936797.504691,141341.36656
POINT (-74.08673037009886 40.5733810200222),CB511119,40.57338102,-74.08673037,960155.6609,148186.5442
POINT (-73.79768149283233 40.77792352691199),CB419631,40.77792352,-73.79768149,1040283.42251,222760.05648
POINT (-73.7356128590247 40.757448931168426),CB486167,40.75744,-73.7356,1057496.2016,215346.3101
POINT (-73.87459985519534 40.70888816298925),CB426459,40.70888816,-73.87459985,1019016.40839,197568.447861
POINT (-73.76122708486645 40.737774911424715),CB422738,40.73777491,-73.76122708,1050419.55558,208158.079616
POINT (-73.92898571444256 40.76825677673164),CB429783,40.76825677,-73.92898571,1003920.73743,219181.40082
POINT (-73.82504727959552 40.66670111811831),CB402269,40.66670111,-73.82504727,1032785.23292,182222.059507
POINT (-73.79710482601686 40.691895203948796),CB460863,40.6918952,-73.79710482,1040515.73091,191417.684371
POINT (-73.87394203412607 40.76616088962368),CB409911,40.76616088,-73.87394203,1019168.75716,218434.951364
POINT (-73.82976527856987 40.74769181442309),CB414963,40.74769181,-73.82976527,1031419.02741,211726.774082
POINT (-73.90209603928915 40.74863952460109),CB431190,40.74863952,-73.90209603,1011377.07966,212041.381135
POINT (-73.74257022653579 40.72080200403114),CB449519,40.720802,-73.74257022,1055607.96553,201988.990957
POINT (-73.72455136907166 40.72707341315445),CB452566,40.72707341,-73.72455136,1060595.48244,204289.039906
POINT (-73.89976536244555 40.693561896881995),CB427740,40.69356189,-73.89976536,1012045.82119,191975.650436
POINT (-73.9029705138101 40.701525565107495),CB424766,40.70152556,-73.90297051,1011153.79507,194876.048078
POINT (-74.13943661924337 40.6329395116155),CB502960,40.63293951,-74.13943661,945548.024418,169904.110981
POINT (-73.7520057255586 40.600559008460266),CB407243,40.600559,-73.75200572,1053116.53305,158173.724555
POINT (-73.72951173721427 40.69402118694164),CB446897,40.69402118,-73.72951173,1059257.81637,192242.887396
POINT (-73.70644638660646 40.74593458187185),CB450978,40.74593458,-73.70644638,1065590.55354,211177.017625
POINT (-73.79279709701335 40.77359187551834),CB418351,40.77359187,-73.79279709,1041639.9181,221185.0569
POINT (-73.84485925007384 40.76173149620015),CB414421,40.76173149,-73.84485925,1027227.70049,216834.110534
POINT (-73.82102981608531 40.58394657156264),CB406025,40.58394657,-73.82102981,1033961.35154,152074.692308
POINT (-73.74261156459913 40.69029331390541),CB447826,40.69029331,-73.74261156,1055629.16685,190873.774058
POINT (-73.87337352786795 40.72796078402786),CB427016,40.72796078,-73.87337352,1019346.35502,204517.669586
POINT (-74.12695754165716 40.567784489353016),CB503922,40.56778448,-74.12695754,948977.306181,146161.223291
POINT (-73.85717288164078 40.72560312662739),CB435506,40.72560312,-73.85717288,1023837.99482,203665.609081
POINT (-74.19526776994238 40.54977113136695),CB507950,40.54977113,-74.19526777,929984.029052,139633.442959
POINT (-73.9046735563477 40.76864710494204),CB429277,40.7686471,-73.90467355,1010654.97288,219330.00428
POINT (-73.82514927124625 40.68058481874651),CB401567,40.68058481,-73.82514927,1032746.84194,187280.221429
POINT (-73.75479085642651 40.699919042244964),CB453293,40.69991904,-73.75479085,1052241.78809,194371.007678
POINT (-73.92624307104269 40.73887419311644),CB434119,40.73887419,-73.92624307,1004689.45457,208477.004979
POINT (-73.77874787550908 40.689568908007324),CB456843,40.6895689,-73.77874787,1045608.5059,190582.473819
POINT (-74.16235514488584 40.55926137183098),CB505704,40.55926137,-74.16235514,939137.022625,143072.289638
POINT (-73.75894438339778 40.665682092147506),CB446420,40.66568209,-73.75894438,1051124.42312,181894.345952
POINT (-73.83142333609139 40.701284026930374),CB438464,40.70128402,-73.83142333,1030992.14779,194818.124703
POINT (-73.86429946275379 40.74044980631757),CB410725,40.7404498,-73.86429946,1021854.31242,209071.572953
POINT (-73.78954090149011 40.757750861475586),CB420876,40.75775086,-73.7895409,1042555.66566,215415.818708
POINT (-73.84949309851743 40.68854325163604),CB434923,40.68854325,-73.84949309,1025989.82937,190167.165883
POINT (-74.21687956797231 40.53738298806205),CB508159,40.53738298,-74.21687956,923966.830723,135134.290883
POINT (-73.90417945680375 40.69881601803429),CB425182,40.69881601,-73.90417945,1010819.6661,193888.511104
POINT (-73.93681566534066 40.7741161786343),CB429806,40.77411617,-73.93681566,1001750.32579,221314.514388
POINT (-73.92443283632137 40.75224535636291),CB430280,40.75224535,-73.92443283,1005186.9026,213348.973165
POINT (-73.74863608993634 40.74689100398123),CB423498,40.746891,-73.74863608,1053899.27475,211489.11034
POINT (-73.77085965386867 40.668423206399815),CB456426,40.6684232,-73.77085965,1047816.24588,182884.136261
POINT (-74.10102152543776 40.58629676908409),CB509672,40.58629676,-74.10102152,956190.900351,152896.325108
